id,name,phone,address,city,state,country,lat,lng,rating,reviews,type,subtypes,website,status,price_level,working_hours,google_maps,reviews_link,photo,about
0x3f8dfd6271df0085:0x7d8e214052e7cada,فروش قطعات یدکی ایران خودرو,+989127158629,"Tehran Province, Tehran, District 21, Mostafa Khomeyni St, P76C+849 فروش قطعات یدکی ایران خودرو, ایران",تهران,استان تهران,IR,35.7107946,51.2703595,4.3,,فروشگاه لوازم جانبی خودرو,فروشگاه لوازم جانبی خودرو,,OPEN,,{},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3f8dfd6271df0085:0x7d8e214052e7cada,https://search.google.com/local/reviews?placeid=ChIJhQDfcWL9jT8R2srnUkAhjn0&authuser=0,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkbIzyzRl_Xc-6JCkai1MRUjJXfa_zGpFx8V7PDfq7UhJfIhE4OQANUZAUEZeGGj8Verv5Lq29lwoE4-_O9qbXxlWRaJMdrjFfitRMNmo3v8gxvNhRM5vMeEfV1TSMiBrmj_LN2g,
0x3f8e01007325dda1:0xc3c1db62c5c92911,لوازم یدکی خودروهای چینی,+989194044717,"Tehran, Safi Alishah Rd, MCVJ+689 لوازم یدکی خودروهای چینی, ایران",تهران,,IR,35.6930183,51.4308482,5,,فروشگاه لوازم یدکی,فروشگاه لوازم یدکی,https://www.taktazpart.com,OPEN,,{'شنبه': ['۱۰ تا ۱۸']},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3f8e01007325dda1:0xc3c1db62c5c92911,https://search.google.com/local/reviews?placeid=ChIJod0lcwABjj8RESnJxWLbwcM&authuser=0,https://lh3.googleusercontent.com/gps-cs-s/AHVAweriFv-tTwKKEXhY1HaEmDe-O7HNJ-eUdkaqvyzlvC7Z3BIEd6MXmzK0-QVQMNYKpawrYA3KQKYLnx7Fca7x-fi2rJfsODk6uwaFlk_wX8kYLc2LCmQHnc-9NBQ3ea2HvvjENU97Be_-dMJB,
0x3fbc357caa65d7b5:0xe698d13b053fc5a,فروشگاه قطعات خودروهای سواری چینی,+989133140116,فروشگاه قطعات خودروهای سواری چینی، MJJR+RHP، اصفهان، استان اصفهان، ایران,اصفهان,استان اصفهان,IR,32.682097999999996,51.6414652,5,,تعمیرگاه خودرو,تعمیرگاه خودرو,,OPEN,,{'شنبه': ['شبانه\u200cروزی باز است']},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3fbc357caa65d7b5:0xe698d13b053fc5a,https://search.google.com/local/reviews?placeid=ChIJtddlqnw1vD8RWvxTsBONaQ4&authuser=0,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqawSXGlECsU0OmMs6fBzodJ1YwTzdKap5zMkbLP7e6EF21NsCBLn61zxD_OpL5SVT8Rrc1MsN4R5ZCLNACcRkUfSW9lxLWnFfzDpN2jV-ZoBMXNd6DgJu2bnvfDTavhsub0Hlg,
0x3f8e01056c62e035:0xc5d35f0bf7ba816e,فروشگاه اژدری,+982133938540,فروشگاه اژدری، MCPF+9G2 منطقه ۱۲، تهران، استان تهران، ایران,تهران,استان تهران,IR,35.6857869,51.4232653,4.6,,فروشگاه لوازم یدکی,فروشگاه لوازم یدکی,http://www.azh-parts.ir,OPEN,,{'شنبه': ['۹ تا ۱۷']},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3f8e01056c62e035:0xc5d35f0bf7ba816e,https://search.google.com/local/reviews?placeid=ChIJNeBibAUBjj8RboG69wtf08U&authuser=0,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoX6-3UzucgCVLusMBFTJ_QYE5Z5ANyopuqLqB6kOcjfIkKkaiHKBog1rtW0jS0TeoPk6-pjPvBzZpUpz5oOq4itTEG_Pv1javdPF9Ym3k82qvvStdAJoVth4cdn6Wn8F828mql6jgChVE,
0x3f8e012742470037:0xe1477f807a454656,فروشگاه قطعات خودرو های چینی (مرکزی),+989193131906,"Tehran Province, Tehran, S Saadi St, MCPF+7GP فروشگاه قطعات خودرو های چینی (مرکزی), ایران",تهران,استان تهران,IR,35.685709599999996,51.4238128,3,,فروشگاه لوازم یدکی,فروشگاه لوازم یدکی,,OPEN,,{'شنبه': ['۹ تا ۱۸']},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3f8e012742470037:0xe1477f807a454656,https://search.google.com/local/reviews?placeid=ChIJNwBHQicBjj8RVkZFeoB_R-E&authuser=0,https://lh3.googleusercontent.com/gps-cs-s/AHVAweptZr2Jvjt0gx7deChjhrE5RtGIIf-z2pueeENdpOZf55FRnhvYLvTheDmC2xzpgr8yhQhn7AMyb2kFU_svVriQYAi4U4q8QCU4QDZZg2CWKgd8pVGYrMTcskthL73y6iUMkN3h,
0x3f8dbf005054c8c3:0xca9d2ea8b06b8a3f,لوازم یدکی خودروهای چینی,+989375704004,کرج، گلشهر، کوچه آذر شرقی،لوازم یدکی خودرو چینی رو، بلوار شمس، پلاک ابتدای، لوازم یدکی خودروهای چینی، ایران,کرج,,IR,35.8332585,50.941156,5,,فروشگاه لوازم یدکی,فروشگاه لوازم یدکی,,OPEN,,{'شنبه': ['۹ تا ۲۰:۳۰']},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3f8dbf005054c8c3:0xca9d2ea8b06b8a3f,https://search.google.com/local/reviews?placeid=ChIJw8hUUAC_jT8RP4prsKgunco&authuser=0,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep2SM8ZZFv0hI-rd1A_Gw140oGBybWpqgAEmNDypBVWU8OJWVU0XQTATd-v6gy1ZCPW0ygc2gQnuRK6T6ltD7hX2HNzSFkgcR3yYzXW5Eh3-bkvFkLGhi9A6Xk1soK0VvP665CA,
0x3f8e010fdebbed97:0xbb02dc0b22f2aaf7,فروشگاه نیکی پارت (خودروهای چینی),+989198622840,تهران، کوچه سراج الملک، پلاک کوچه، فروشگاه نیکی پارت (خودروهای چینی)، حمام پاساژ میلاد ط سوم پ45، ایران,تهران,,IR,35.6872302,51.4283863,5,,فروشگاه لوازم یدکی,فروشگاه لوازم یدکی,http://www.nikipart.com,OPEN,,{'شنبه': ['۱۰ تا ۱۹']},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3f8e010fdebbed97:0xbb02dc0b22f2aaf7,https://search.google.com/local/reviews?placeid=ChIJl-273g8Bjj8R96ryIgvcArs&authuser=0,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerMVe-oWctsApmoXHxQ1ARYMI7LWCnYwK19RNol7HL82aRvFTn-RJ7h9oUVR-C7hYvgnQHS7-IxlcIhzlYRuxYIE6bm-VdmJENRXdBoiXTBA-pSLh7gX6RhE2efXst8TxLM2XYv2g,
0x3f8e01004e14ed6f:0xcc413806426db828,لوازم یدکی پولاد خودرو های چینی,,"Tehran, Mellat St, MCQG+HV3 لوازم یدکی پولاد خودرو های چینی, ایران",تهران,,IR,35.6888941,51.4271655,5,,فروشگاه لوازم یدکی,فروشگاه لوازم یدکی,http://pooladyadak.ir,OPEN,,{'شنبه': ['۱۰ تا ۱۸']},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3f8e01004e14ed6f:0xcc413806426db828,https://search.google.com/local/reviews?placeid=ChIJb-0UTgABjj8RKLhtQgY4Qcw&authuser=0,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepwdXbsT6lVcajKMCmnpUuA1O1PtRPTWrCmP8M65qihO_YAdz7GTjdoXXZ5VcmYPGkQyHkyCnZeoSrpPwPH2i8blfThXTx3CGWrfdoZqNqgI4uhQBuMah3VRIjc3uPGUzzquRq5zVdqkmF0,
0x3fbc29003f52e5b1:0xef0cd8af865a153c,مبین یدک - لوازم یدکی خودرو چینی,+989300032042,"مبین یدک - لوازم یدکی خودرو چینی, FCG3+545, Fuladshahr, Isfahan Province, ایران",فولاد شهر,استان اصفهان,IR,32.4754892,51.402638599999996,4.4,,فروشگاه لوازم جانبی خودرو,فروشگاه لوازم جانبی خودرو,https://mobinyadak.ir,OPEN,,{'شنبه': ['۹ تا ۱۸']},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3fbc29003f52e5b1:0xef0cd8af865a153c,https://search.google.com/local/reviews?placeid=ChIJseVSPwApvD8RPBVahq_YDO8&authuser=0,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqN0rAkIjTV01S69Ga02A3DQ_4z_6GQSWv7KRu6MgAFmExldrIHJCO5r3x8CPovK6v5dEjCIXskKlUwEGGy4Jlr05FCOePEmq4u05CoaH60VfPg7l3h-suFvP0IZDL8ovmo4XHRb93LQU8w,
0x3fbc4bd8f539d72b:0x8e74bb948faa7937,قطعات خودروهای چینی منصوری,+989132668593,قطعات خودروهای چینی منصوری، MMVJ+GP5، اصفهان، استان اصفهان، ایران,اصفهان,استان اصفهان,IR,32.6937523,51.6818611,4,,فروشگاه لوازم یدکی,فروشگاه لوازم یدکی,,OPEN,,{'شنبه': ['۸ تا ۲۰']},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3fbc4bd8f539d72b:0x8e74bb948faa7937,https://search.google.com/local/reviews?placeid=ChIJK9c59dhLvD8RN3mqj5S7dI4&authuser=0,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqwuOgBh2xKG9Xa4l5OGl_rRyEHUCOGM1RCbxxVx_I58IoXxw5LiIBRnYgBNpoNiwubJGvFPtywCMnMNdsXWSStUJAA6yw7ZKsdDYnQtK2zgmJP8xsXqCzChJzYjJhpru-2tSw,
0x3f8f812b6da1e6b5:0xb9126c0afdbd76a3,لوازم یدکی خودروهای چینی,+989111154990,میاندشت، میاندشت،میربازار، بابلسر، استان مازندران،، MMJ2+9GP لوازم یدکی خودروهای چینی، ایران,میاندشت,,IR,36.680955,52.6513345,4.5,,فروشگاه لوازم یدکی,فروشگاه لوازم یدکی,,OPEN,,"{'شنبه': ['۸:۳۰ تا ۱۳', '۱۶ تا ۲۱:۳۰']}",https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3f8f812b6da1e6b5:0xb9126c0afdbd76a3,https://search.google.com/local/reviews?placeid=ChIJteahbSuBjz8Ro3a9_QpsErk&authuser=0,,
0x3f8dbfb20781a57f:0xfdfe6e692e251f10,لوازم یدکی ماشین چینی,+989198072490,لوازم یدکی ماشین چینی، RWPX+47M، کرج، استان البرز، ایران,کرج,استان البرز,IR,35.826030599999996,51.0035518,3,,location,,https://behnampart.ir,OPEN,,{'شنبه': ['۸:۳۰ تا ۲۱']},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3f8dbfb20781a57f:0xfdfe6e692e251f10,https://search.google.com/local/reviews?placeid=ChIJf6WBB7K_jT8REB8lLmlu_v0&authuser=0,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepPabZU81TUidgqZCkfIQIyQarJ3reuXIks_EftTQ08xn13mBBS9hUbL6YAr9YAMLUJ8C0DrszgeCJKSSn-10J-xMYWcQPN-h-7csdKyuAh_Ib9hlm5dJmhHjqo-X2XroMzyd-TKUJijE-X=m18,
0x3fbdcd005f79362d:0xd24da410cebec6c7,لوازم یدکی خودروهای چینی نصیری,+989138651056,"Isfahan Province, Khomeyni Shahr, Azadegan Blvd, لوازم یدکی خودروهای چینی نصیری, ایران",خمینی شهر,استان اصفهان,IR,32.7006175,51.522506,5,,فروشگاه لوازم یدکی,فروشگاه لوازم یدکی,,OPEN,,"{'شنبه': ['۸:۳۰ تا ۱۳', '۱۵:۳۰ تا ۱۹:۳۰']}",https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3fbdcd005f79362d:0xd24da410cebec6c7,https://search.google.com/local/reviews?placeid=ChIJLTZ5XwDNvT8Rx8a-zhCkTdI&authuser=0,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepngLKOdxddcntwEMHRWX0WDq2Xk5WfZ0CBOqA2q1wNIicHS8K6221haIXHDCW0Pb3vCclZ-FfboU_dY6gBPNuKZ2UITKFIHZtd9fzDAFqROgIFru9CXC7FCdaM05KNoXTVTD_AoBOzRDI6,
0x3f8d95006d9c9a8b:0xb6177cba22ca4ba2,چینی یدک,+989120685032,چینی یدک، R236+W53 خلج آباد، کرج، استان البرز، ایران,کرج,استان البرز,IR,35.804762499999995,51.0104219,4.3,,فروشگاه لوازم یدکی,فروشگاه لوازم یدکی,,OPEN,,{'شنبه': ['۸:۴۵ تا ۲۰:۴۵']},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3f8d95006d9c9a8b:0xb6177cba22ca4ba2,https://search.google.com/local/reviews?placeid=ChIJi5qcbQCVjT8RokvKIrp8F7Y&authuser=0,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqslPxqZbVGt8Mn6e9cWRF7UoK6lY54LSlV4Qqq8S_vytIEx2f2xni-FM7EpGDmZhR2HruhiyKUggQTlCNgZMKnmJPNfazvGXsLVyVcY63YPQbqs3teogM0ZzOSN-TVdoIurcKi,
0x3f8dfd000481e3df:0x2519ea1abe7631f0,لوازم یدکی خودروهای چینی(امیریدک),+982144114614,"Tehran Province, Tehran, Kan, Bolvar-e-Shahr-e-Ziba, P7VV+QXQ لوازم یدکی خودروهای چینی(امیریدک), ایران",تهران,استان تهران,IR,35.744459,51.294933699999994,,0,فروشگاه لوازم یدکی,فروشگاه لوازم یدکی,http://www.amiryadaak.com,OPEN,,{'شنبه': ['۱۰ تا ۲۰:۳۰']},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3f8dfd000481e3df:0x2519ea1abe7631f0,https://search.google.com/local/reviews?placeid=ChIJ3-OBBAD9jT8R8DF2vhrqGSU&authuser=0,https://lh3.googleusercontent.com/gps-cs-s/AHVAweptrYpi9p8ccr-EGD-ZdoTnqd4_uN0KmXALNkHDI7PE_ZsJtdjNhrZ0IovlxEtLx63wEn_mm4fnvxyACep8nAZSPEMv8dttauC-3sto2sCPcRWaE1D5ahGcd8suhCgl44HxQUo3zg,
0x3fec957d13e9bc07:0x4b9865dd36b5bad8,فروشگاه قطعات خودروهای چینی *حامیکو*,+989189600334,استان مرکزی، اراک، شهرك گردو،، طالقاني، فروشگاه قطعات خودروهای چینی *حامیکو*، ایران,اراک,,IR,34.0719862,49.6621977,4,,فروشگاه لوازم یدکی,فروشگاه لوازم یدکی,,OPEN,,"{'شنبه': ['۹ تا ۱۳:۳۰', '۱۶ تا ۲۱']}",https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3fec957d13e9bc07:0x4b9865dd36b5bad8,https://search.google.com/local/reviews?placeid=ChIJB7zpE32V7D8R2Lq1Nt1lmEs&authuser=0,,
0x3fbdcb31fcc131c3:0x682b26ed2f90321b,چین یدک,+989132656410,اصفهان، استان اصفهان، اصفهان، خیابان امام خمینی،، PHCQ+P9J چین یدک، ایران,اصفهان,,IR,32.7218343,51.588376,3.5,,فروشگاه لوازم یدکی,فروشگاه لوازم یدکی,,OPEN,,{'شنبه': ['شبانه\u200cروزی باز است']},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3fbdcb31fcc131c3:0x682b26ed2f90321b,https://search.google.com/local/reviews?placeid=ChIJwzHB_DHLvT8RGzKQL-0mK2g&authuser=0,https://lh3.googleusercontent.com/gps-cs-s/AHVAwermebyQVoVA6vY4eUz_IXJLcQPABfr2w8lwCZp4mGvm3ODqOlvvNzxVNPJCryYEQ4Tr226hw3X4EEPH4MPaAY2EpZBnRtOSFMxBRtuuzmMo-S11_fxZcW-NAp1ihdO_bGr-AqaitQ,
0x3f8dfb007e7167a1:0x80f6dc158415a7a7,فروشگاه لوازم یدکی چینی,,فروشگاه لوازم یدکی چینی، M6RX+F72، تهران، ایران,تهران,,IR,35.6911395,51.248154299999996,,0,بازار لوازم یدکی,بازار لوازم یدکی,,OPEN,,{},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3f8dfb007e7167a1:0x80f6dc158415a7a7,https://search.google.com/local/reviews?placeid=ChIJoWdxfgD7jT8Rp6cVhBXc9oA&authuser=0,,
0x3f96850013f1bb75:0x5b014a8828693664,لوازم یدکی خودرو های چینی کاشان,+989132646458,لوازم یدکی خودرو های چینی کاشان، XFH5+X7H، کاشان، ایران,کاشان,,IR,33.979971899999995,51.458259399999996,5,,فروشگاه لوازم یدکی,فروشگاه لوازم یدکی,,OPEN,,{'شنبه': ['۸ تا ۲۲']},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3f96850013f1bb75:0x5b014a8828693664,https://search.google.com/local/reviews?placeid=ChIJdbvxEwCFlj8RZDZpKIhKAVs&authuser=0,,
